#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres,sigle,commune,location,phone,email,website,subs_fee,scho_amount,sectors
79,UNIVERSITE INTERNATIONALE DE BOUAKE (UIB),BOUAKE,BOUAKE,0,,827,,BOUAKE,,['07 67 59 96 88 et 05 86 56 62 84'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
80,UNIVERSITE INTERNATIONALE DE COCODY -(UIC),ABIDJAN,COCODY,0,85 000 F,1020,UIC,COCODY,"7e Tranche, Rue non loin de Café de Versailles","['0778637400 ', ' 0709885431']",[email protected],uic-ci.com,85 000 F,,"['FILIERE(S) DE FORMATION,CYCLE', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', '']"
81,UNIVERSITE INTERNATIONALE DE COTE D'IVOIRE -(UICI),ABIDJAN,COCODY,0,50.000,671,UICI,COCODY,Campus situé à la Rue DJ ARAFAT près de la pharmacie 7ème tranche,['07 07 314 314'],[email protected],www.uici.info,50.000,550.000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE Géologie mine pétrole et environnement,Licence', '']"
82,UNIVERSITE INTERNATIONALE DE YAMOUSSOUKRO -(UIYA),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,874,,YAMOUSSOUKRO,,"['85 05 45 93 ', ' 57 62 39 99 ', ' 56 06 95 65', ' 73 81 07 81']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
83,UNIVERSITE INTERNATIONALE DES SCIENCES ET TECHNOLOGIE -(UIST),ABIDJAN,COCODY,0,85000,867,,COCODY,Rivière Palmeraie  non loin de la  SIPIM  2  carrefour Hamed Ouattara,"['0798991511 ', ' 0140136060 ', ' 0575948181']",[email protected],,85000,,"['FILIERE(S) DE FORMATION,CYCLE', ""DEVELOPPEMENT D'APPLICATIONS WEB ET MOBILE,Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', '']"
84,UNIVERSITE INTERNATIONALE DES SCIENCES ET TECHNOLOGIE BOUAKE -(UIST - B),BOUAKE,BOUAKE,0,,2107,,BOUAKE,Quartier Kennedy non loin de l'ONECI,"['0143094949 ', ' 0584107777 ', ' 0798287905']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION ET SÉCURITÉ DES SYSTÈMES ET DES RÉSEAUX INFORMATIQUES (ASSRI),Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE ELECTRONIQUE,Licence', 'LICENCE ELECTRONIQUE ENERGIE ELECTRIQUE AUTOMATIQUE,Licence', 'LICENCE EN MARKETING DIGITAL,Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', 'LICENCE Industries agro-alimentaires,Licence', 'LICENCE METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES (MIAGE),Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', '']"
85,UNIVERSITE INTERNATIONALE DES SCIENCES TECHNIQUES APPLIQUEES ET DU MANAGEMENT (UISTAM),ABIDJAN,COCODY,0,85 000 F CFA,2135,UISTAM,COCODY,"RIVIERA 3 FAYA NOUVEAU CAMP AKOUEDO, PRES  DE LA PHARMACIE SAINT MARTIN","['27 22 28 62 82', '07 59 57 92 86', ' 07 08 99 03 34']",[email protected],//www.uistam.org,85 000 F CFA,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),', 'LICENCE DE SCIENCES INFORMATIQUES,', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,"", '']"
86,UNIVERSITE INTERNATIONALE EVANGELIQUE DE COTE D’IVOIRE (UIECI ),ABIDJAN,COCODY,0,,1067,UIECI,COCODY,Cocody 2 Plateaux 7è Tranche.,['07740522'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', '']"
87,UNIVERSITE INTERNATIONALE FRANCOIS (UIF),ABIDJAN,COCODY,0,,926,,COCODY,COCODY 2 PLATEAUX 7ème TRANCHE NON LOIN DU CAFE DE VERSAILLES,['22 42 99 59'],[email protected],,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHÉMATIQUE APPLIQUE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
88,UNIVERSITE INTERNATIONALE FRANÇOIS -(UIF),ABIDJAN,COCODY,0,,1021,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
89,UNIVERSITE INTERNATIONALE NAYEBA (UNID),ABIDJAN,DABOU,0,85.000 F CFA,1062,UNID,DABOU,Dabou quartier CAFOP,"['0103123535 ', ' 0505845045 ', ' 0545411141']",[email protected],,85.000 F CFA,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '']"
90,UNIVERSITE INTERNATIONALE POLYTECHNIQUE HETEC (UIPH),ABIDJAN,ABOBO,0,50 000 F,2104,UIPH,ABOBO,"Abidjan Plateau Dokui, 1er arrêt Dokui",['0748554336'],[email protected],//www.groupehetec.net,50 000 F,400 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),BTS', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE SCIENCES DU LANGAGE ET DE LA COMMUNICATION (PRIVE),Licence', '']"
91,UNIVERSITE INTERNATIONALE PRIVEE D'ABIDJAN -(UIPA),ABIDJAN,RIVIERA,0,85000,360,UIPA,RIVIERA,"RIVIERA M'BADON, 500 METRE DE LA NOUVELLE AMBASSADE DE CHINE","['27-22-43-15-05 ', ' 05-56-18-74-19']",[email protected],//uipa.net,85000,0 F AFFECTE,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : AD / ASSISTANAT DE DIRECTION,BTS', 'BTS : ATPA / AGRICULTURE TROPICALE OPTION PRODUCTION ANIMALE,BTS', 'BTS : ATPV / AGRICULTURE TROPICALE OPTION PRODUCTION VEGETALE,BTS', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : LOG / LOGISTIQUE,BTS', 'BTS : MGP / MINES GEOLOGIE ET PETROLE,BTS', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,BTS', 'BTS : SEI / SYSTEMES ELECTRONIQUES ET INFORMATIQUES,BTS', ""BTS : SIN / SCIENCES DE L'INFORMATION,BTS"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
92,UNIVERSITE METROPOLITAINE D'ABIDJAN -(UMA-GC),ABIDJAN,PLATEAU,0,,834,,PLATEAU,,"['20210121 ', ' 02050406']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
93,UNIVERSITE MUSULMANE AFRICAINE -(UMA),ABIDJAN,COCODY,0,85000,174,UMA,COCODY,Riviera bonoumin Cocody en face de la pharmacie saint Paul,['22 49 09 41'],,//www.uma-3i.com/,85000,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'Licence en Sciences Politiques,Licence', '']"
94,UNIVERSITE NANAN YAMOUSSO (U NANAN YAMOUSSO),BOUAKE,BOUAKE,0,,828,,BOUAKE,,['08 41 07 43'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
95,UNIVERSITE NBA -(U-NBA),ABIDJAN,COCODY,0,100 000 F,1016,UNIVERSITÉ NBA,COCODY,"COCODY ANGRE, 8ième tranche, Caféier 8, non loin de Soleil 2","['0707610329 ', ' 0544506731 ', ' 0584561928']",[email protected],www.univ-nba1.com,100 000 F,250 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
96,UNIVERSITE NORD SUD ANGRE -(UNS ANGRE),ABIDJAN,COCODY,0,Affectés 120 000/ Non Affectés 220 000,17,UNS ANGRE,COCODY,Cocody Angré non loin du 22eme,['07 09 77 44 13'],[email protected],www.uns-if.ci,Affectés 120 000/ Non Affectés 220 000,Affectés 320 000/ Non Affectés 770 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE STRM,Licence', '']"
97,UNIVERSITE NORD SUD ATTOBAN -(UNS ATTOBAN),ABIDJAN,COCODY,0,,1077,,COCODY,RivieraAttobanà200mducommissariatdu30eArr.,"['0757208658', '0576458761', '0759159833']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
98,UNIVERSITE NORD SUD BOUAKE -(UNS BOUAKE),BOUAKE,BOUAKE,0,120 000 Affectés/ Non Affectés 300 000,896,UNS BOUAKE,BOUAKE,"Quartier KENNEDY, Ancien bureau de UNICEF, avant le carrefour de l'hôtel Mon Afrique.","['0798941540 ', ' 0798941529']",[email protected],www.uns-if.ci,120 000 Affectés/ Non Affectés 300 000,220 000 Affectés 570 000/ Non Affectés,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE GESTION COMMERCIALE,Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
99,UNIVERSITE NORD SUD COCODY -(UNS BONOUMIN),ABIDJAN,COCODY,0,Affectés 120 000/ Non Affectés 220 000,177,UNS BONOUMIN,COCODY,Bonoumin riviera2 derrière le nouveau siège de la CAF.,"['0798577337', '0701008149']",[email protected],www.uns-if.ci,Affectés 120 000/ Non Affectés 220 000,Affectés 320 000/ Non Affectés 770 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN MANAGEMENT DU LUXE,Licence', 'LICENCE EN TOURISME DU LUXE,Licence', 'LICENCE STRM,Licence', '']"
100,UNIVERSITE NORD SUD DIMBOKRO -(UNS DIMBOKRO),DIMBOKRO,DIMBOKRO,0,120 000 Affectés/ 220 000 Non Affectés,179,UNS DIMBOKRO,DIMBOKRO,QUARTIER COMMERCE,['0708961150'],[email protected],www.uns-if.ci,120 000 Affectés/ 220 000 Non Affectés,220 000 Affectés/ Non Affectés 420 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE STRM,Licence', '']"
101,UNIVERSITE NORD SUD MARCORY -(UNS MARCORY),ABIDJAN,MARCORY,0,120 000 Affectés/ 220 000 Non Affectés,897,UNS MARCORY,MARCORY,Quartier Marcory résidentiel 100 mètres de POLYMED,['01 40 37 89 40'],[email protected],www.uns-if.ci,120 000 Affectés/ 220 000 Non Affectés,250 000 Affectés/ Non Affectés 700 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE GESTION COMMERCIALE,Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
102,UNIVERSITE NORD SUD PORT-BOUËT -(UNS PORT-BOUËT),ABIDJAN,PORT BOUET,0,Affectés 120 000/ Non Affectés 220 000,176,UNS VRIDI,PORT BOUET,Port Bouet Carrefour petit Bassam,['0708006615'],[email protected],www.uns-if.ci,Affectés 120 000/ Non Affectés 220 000,Affectés 320 000/ Non Affectés 770 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE STRM,Licence', '']"
103,UNIVERSITE NORD SUD RUE DES JARDINS -(UNS RUE DES JARDINS),ABIDJAN,COCODY,0,,1078,,COCODY,QuartierdelaRuedesJardins,"['0759159833', '0546888717', '0778399629']",[email protected],,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
104,UNIVERSITE NORD SUD YOPOUGON -(UNS YOPOUGON),ABIDJAN,YOPOUGON,0,120 000 Affectés/ 220 000 Non Affectés,178,UNS MILLIONNAIRE,YOPOUGON,Yopougon Millionnaire pas loin de la pharmacie affia,"['07 77 33 91 33', ' 07 00 08 50 18', ' 0757208658']",[email protected],,120 000 Affectés/ 220 000 Non Affectés,250 000 Affectés/ Non Affectés 700 000,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE STRM,Licence', '']"
105,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA ABOBO),ABIDJAN,ABOBO,0,,2117,,ABOBO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
106,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA ADJAME),ABIDJAN,ADJAME,0,,2115,,ADJAME,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
107,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA ANGRE),ABIDJAN,COCODY,0,,2116,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
108,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA KOUMASSI),ABIDJAN,KOUMASSI,0,,2118,,KOUMASSI,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
109,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA PORT BOUET),ABIDJAN,PORT BOUET,0,100.000frs,2119,UNDA PORT-BOUET,PORT BOUET,"Non loin de la cité universitaire de PORT BOUET 3. En face du Lycée Professionnel des Métiers de la Mode et du Social, Ex CEP. A 200m du phare de Port-Bouët",['27 22 22 23 30 - 07 57 25 15 42'],[email protected],www.unda.ci,100.000frs,0,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
110,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA YOPOUGON),ABIDJAN,YOPOUGON,0,,2114,,YOPOUGON,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE SCIENCES DE LA VIE ET DE LA TERRE,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
111,UNIVERSITE NOTRE DAME D'ABIDJAN -(UNDA),ABIDJAN,COCODY,0,160 000 F,1012,UNDA,COCODY,,"['27 24 32 59 90', ' 05 75 32 86 54', '07 57 29 87 58']",27 24 32 59 90/05 75 32 86 54,,160 000 F,250 000 F,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE ELECTRONIQUE,Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', '']"
112,UNIVERSITE NOUVELLE DE CÔTE D'IVOIRE,ABIDJAN,,0,,2130,,,,['0779341054'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),', 'LICENCE EN LETTRE MODERNE (PRIVE),', '']"
113,UNIVERSITE OUEST AFRICAINE -(UOA),ABIDJAN,RIVIERA,0,,823,UOA,RIVIERA,CITE ALLABRA EN FACE DE CAP NORD,"['48 70 34 65', ' 58 63 53 92', ' 07 31 58 65']",,www.universiteouestafricaine.com,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE STRM,Licence', '']"
114,UNIVERSITE POLYTECHNIQUE AGITEL FORMATION (UPAF),ABIDJAN,COCODY,0,40 000 FCFA,2105,,COCODY,,['27 22 23 60 03'],[email protected],www.agitel-formation. net,40 000 FCFA,450 000 FCFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE SCIENCES DU LANGAGE ET DE LA COMMUNICATION (PRIVE),Licence', 'Licence en Sciences Politiques,Licence', '']"
115,UNIVERSITE POLYTECHNIQUE DE BINGERVILLE -(UPB),ABIDJAN,BINGERVILLE,0,85000,683,,BINGERVILLE,Bingerville / Akandje II - Cite Kokoh Adjoumani (Ordinateur HP offert aux premiers inscrits),"['69 29 19 65 ', ' 76 26 19 89 ', ' 02 96 62 92 ', ' 20 00 02 20']",[email protected],www.upb.ci,85000,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION ET SÉCURITÉ DES SYSTÈMES ET DES RÉSEAUX INFORMATIQUES (ASSRI),Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE ELECTRONIQUE,Licence', 'LICENCE ELECTRONIQUE ENERGIE ELECTRIQUE AUTOMATIQUE,Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', 'LICENCE METHODES INFORMATIQUES APPLIQUEES A LA GESTION DES ENTREPRISES (MIAGE),Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', '']"
116,UNIVERSITE POLYTECHNIQUE KIBIO -(UPK),ABIDJAN,COCODY,0,,892,,COCODY,Riviera Palmeraie,['58 45 04 00'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE GESTION DE L'ENVIRONNEMENT ET DES RESSOURCES NATURELLES,Licence"", 'LICENCE QUALITE SECURITE ENVIRONNEMENT,Licence', '']"
117,UNIVERSITE PRIVE N'TAYE (UPN),ABIDJAN,TREICHVILLE,0,,833,,TREICHVILLE,,['01 13 76 31'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
118,UNIVERSITE PRIVEE AGRICOLE DE COTE D'IVOIRE (UPRACI),ADZOPE,ADZOPE,0,,856,,ADZOPE,,['23 54 01 38'],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
119,UNIVERSITE PRIVEE INTERNATIONALE AKANDJI (UPIA),ABIDJAN,COCODY,0,300 000 F,906,UPIA,COCODY,Abidjan Cocody Riviera 5 fin Boulevard Mitterrand nouvelle école,"['0748974761', '0708864203', '0170810083']",université@groupeakanji.com,www.universiteakanji.com,300 000 F,750 000 F,"['FILIERE(S) DE FORMATION,CYCLE', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', '']"
120,UNIVERSITE PRIVEE SOUMARE -(UNIVERSITE SOUMARE),ABIDJAN,COCODY,0,50 000 F,1023,UNIVERSITE SOUMARE,COCODY,"COCODY ANGRE DJOROGOBITE, DANS LE PROLONGEMENT DU CHU D’ANGRE, NON LOIN DE LA PHARMACIE SAINTE CLEMENTINE","['+225 01 51 80 99 08', ' 07 59 66 74 86']",[email protected],www.universitesoumare.com,50 000 F,1 800 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN MATHEMATIQUE OPTION ACTUARIAT,Licence', 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', '']"
121,UNIVERSITE PROTESTANTE EVANGELIQUE DE COTE D'IVOIRE -(UPE-CI),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,830,,YAMOUSSOUKRO,QUARTIER AFFOUNVASSOU BELLE VUE 1RE TRANCHE,"['07 28 88 85', ' 47 37 88 73']",,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION ET GESTION DES ENTREPRISES,Licence', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE HISTOIRE (PRIVE),Licence', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', 'LICENCE LANGUE LITTERATURE ET CIVILISATION,Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE MARKETING MANAGEMENT,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
122,UNIVERSITE SAINT PAUL (USP),ABIDJAN,ABOBO,0,Gratuit,945,USP,ABOBO,PLATEAU DOKUI EXTENSION FACE PHARMACIE AZUR,"['25 22 01 84 66 ', ' 27 24 31 11 82']",[email protected],www.universitesaintpaul.org,Gratuit,350 000 Frs affectés,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
